cohort,total_invested,average_tx,active_investors,tx_count
2024-01,1378531351.0,107337.17597134625,1577,12843
2024-02,837486576.0,109561.29984301413,990,7644
2024-03,481918027.0,104379.03985271821,669,4617
2024-04,293281266.0,106647.7330909091,441,2750
2024-05,171335115.0,107757.93396226416,294,1590
2024-06,124582926.0,108521.71254355401,236,1148
2024-07,69399857.0,103120.1441307578,175,673
2024-08,56349666.0,114999.31836734693,135,490
2024-09,29532841.0,101487.42611683848,100,291
2024-10,26035364.0,121094.71627906976,75,215
2024-11,10032938.0,82916.84297520661,55,121
2024-12,12639260.0,108027.86324786325,56,117
2025-01,7761668.0,114142.17647058824,40,68
2025-02,9747287.0,135378.98611111112,49,72
2025-03,6804133.0,91947.74324324324,48,74
2025-04,2858955.0,92224.35483870968,29,31
2025-05,3283200.0,96564.70588235294,31,34
